City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,9,4.61,clear sky
314,Maldonado,UY,-34.6667,-54.9167,63.79,60,38,5.55,scattered clouds
315,Srednekolymsk,RU,67.45,153.6833,-4.56,99,100,6.26,light snow
316,Batagay-Alyta,RU,67.8006,130.4114,-25.62,92,58,2.19,broken clouds
317,Qurayyat,SA,31.3318,37.3428,48.38,81,0,8.05,clear sky
318,Prince Rupert,CA,54.3161,-130.3201,47.89,91,0,5.75,clear sky
319,Cherskiy,RU,68.75,161.3,1.2,97,100,3.09,light snow
320,Walvis Bay,NA,-22.9575,14.5053,58.15,94,0,9.22,clear sky
321,Progreso,MX,21.2833,-89.6667,78.37,81,92,12.55,light rain
322,Puerto Madryn,AR,-42.7692,-65.0385,60.58,53,51,17.78,broken clouds
323,Glenwood Springs,US,39.5505,-107.3248,25.83,75,0,6.91,clear sky
324,Fort Nelson,CA,58.8053,-122.7002,11.95,83,0,2.3,clear sky
325,Beckley,US,37.7782,-81.1882,31.32,81,69,1.01,broken clouds
326,Poronaysk,RU,49.2167,143.1167,30.16,61,11,4.0,few clouds
327,Sumbe,AO,-11.2061,13.8437,74.34,79,100,5.06,overcast clouds
328,Porto Novo,BJ,6.4965,2.6036,76.62,85,91,4.36,light rain
329,Nata,PA,8.3333,-80.5167,75.04,89,100,3.65,overcast clouds
330,Houma,US,29.5958,-90.7195,48.99,79,0,6.91,clear sky
331,Longyearbyen,SJ,78.2186,15.6401,21.04,68,20,8.05,few clouds
332,Richards Bay,ZA,-28.783,32.0377,70.77,91,98,6.46,overcast clouds
333,Kalga,RU,50.9251,118.898,24.01,78,98,2.73,overcast clouds
334,Marquette,US,46.5333,-87.6335,25.77,88,100,2.51,overcast clouds
335,Saint George,US,37.1041,-113.5841,46.99,42,0,4.61,clear sky
336,Sao Filipe,CV,14.8961,-24.4956,76.75,70,76,5.5,broken clouds
337,Diamantino,BR,-14.4086,-56.4461,74.59,53,32,4.05,scattered clouds
338,San Cristobal,VE,7.7669,-72.225,66.38,98,100,1.59,overcast clouds
339,Kieta,PG,-6.2167,155.6333,84.22,64,100,4.34,overcast clouds
340,Khandbari,NP,27.3747,87.2039,64.81,66,59,2.93,broken clouds
341,Half Moon Bay,US,37.4636,-122.4286,59.97,44,20,10.36,few clouds
342,Bangassou,CF,4.7413,22.8184,64.69,79,96,1.12,overcast clouds
343,Puerto Escondido,MX,15.85,-97.0667,78.49,76,98,4.23,overcast clouds
